Time,Degree
28/5/2014,29.5955
29/5/2014,29.4083
30/5/2014,29.8583
31/5/2014,30.1667
1/6/2014,30.2
2/6/2014,30.087
3/6/2014,29.4542
4/6/2014,30.3625
5/6/2014,29.8625
6/6/2014,27.175
7/6/2014,27.5208
8/6/2014,28.3667
9/6/2014,28.2167
10/6/2014,28.5458
11/6/2014,27.9708
12/6/2014,28.6708
13/6/2014,29.225
14/6/2014,29.7208
15/6/2014,28.2609
16/6/2014,30.075
17/6/2014,30.0042
18/6/2014,29.9833
19/6/2014,29.8792
20/6/2014,29.4304
21/6/2014,27.3167
22/6/2014,26.9375
23/6/2014,27.6125
24/6/2014,27.9917
25/6/2014,28.0542
26/6/2014,30.3542
27/6/2014,30.5292
28/6/2014,30.2375
29/6/2014,28.7696
30/6/2014,29.425
1/7/2014,28.8083
2/7/2014,30.3583
3/7/2014,30.6125
4/7/2014,30.8708
5/7/2014,30.8167
6/7/2014,30.6417
7/7/2014,28.7042
8/7/2014,30.4917
9/7/2014,31.0542
10/7/2014,29.675
11/7/2014,29.5375
12/7/2014,30.2542
13/7/2014,30.1667
14/7/2014,29.8667
15/7/2014,30.4667
16/7/2014,30.4208
17/7/2014,28.9208
18/7/2014,27.475
19/7/2014,28.5
20/7/2014,29.1708
21/7/2014,29.7875
22/7/2014,29.75
23/7/2014,30.6478
24/7/2014,29.3708
25/7/2014,29.925
26/7/2014,27.9625
27/7/2014,28.0875
28/7/2014,29.7391
29/7/2014,30.1542
30/7/2014,30.5087
31/7/2014,30.987
1/8/2014,29.3833
2/8/2014,29.5167
3/8/2014,30.1875
4/8/2014,30.2261
5/8/2014,28.4458
6/8/2014,28.5458
7/8/2014,29.1458
11/8/2014,30
12/8/2014,28.3333
13/8/2014,25.7042
14/8/2014,28.375
15/8/2014,29.4667
16/8/2014,29.1792
17/8/2014,29.4125
18/8/2014,29.5542
19/8/2014,26.3083
20/8/2014,24.6708
21/8/2014,27.5833
22/8/2014,28.65
23/8/2014,29.0667
24/8/2014,29.2833
25/8/2014,30.0375
26/8/2014,30.3208
27/8/2014,29.2583
28/8/2014,29.4083
29/8/2014,30.1625
30/8/2014,30.1958
31/8/2014,28.9292
1/9/2014,29.5
2/9/2014,29.4708
3/9/2014,29.9917
4/9/2014,29.1083
5/9/2014,29.5542
6/9/2014,30.2208
7/9/2014,29.5583
8/9/2014,29.1417
9/9/2014,29.6542
10/9/2014,30.0292
11/9/2014,30.1708
12/9/2014,27.7333
13/9/2014,29.225
14/9/2014,29.9625
15/9/2014,28.8375
16/9/2014,27.3095
17/9/2014,28.1333
18/9/2014,29.15
19/9/2014,30.2375
20/9/2014,28.3875
21/9/2014,27.0958
22/9/2014,27.3333
23/9/2014,27.7458
24/9/2014,28.1833
25/9/2014,28.6125
26/9/2014,28.4083
27/9/2014,28.7083
28/9/2014,29.2042
29/9/2014,29.5583
30/9/2014,29.05
1/10/2014,28.3208
2/10/2014,28.8208
3/10/2014,26.7792
4/10/2014,26.7043
5/10/2014,26.9417
6/10/2014,26.9625
7/10/2014,26.0042
8/10/2014,26.2542
9/10/2014,26.4708
10/10/2014,27.3
11/10/2014,27.95
12/10/2014,27.2167
13/10/2014,26.1458
14/10/2014,25.2958
15/10/2014,25.6
16/10/2014,25.1917
17/10/2014,25
18/10/2014,25.7136
19/10/2014,25.8458
20/10/2014,26.3958
21/10/2014,27.7375
22/10/2014,26.6833
23/10/2014,24.7875
24/10/2014,24.7583
25/10/2014,25.125
26/10/2014,25.8875
27/10/2014,26
28/10/2014,25.0458
29/10/2014,25.3583
30/10/2014,25.3917
31/10/2014,25.5042
1/11/2014,25.9409
2/11/2014,24.3875
3/11/2014,21.7739
4/11/2014,23.1375
5/11/2014,23.7792
6/11/2014,24.0125
7/11/2014,22.575
8/11/2014,20.2042
9/11/2014,22.8708
10/11/2014,23.3522
11/11/2014,23.5042
12/11/2014,21.4917
13/11/2014,19.9
14/11/2014,21.3636
15/11/2014,21.9333
16/11/2014,22.65
17/11/2014,20.7167
18/11/2014,21.0304
19/11/2014,21.4208
20/11/2014,21.5125
21/11/2014,22.2522
22/11/2014,22.7174
23/11/2014,22.8478
24/11/2014,23.4
25/11/2014,24.3435
26/11/2014,23.1609
27/11/2014,22.1478
28/11/2014,23.6652
29/11/2014,23.4304
30/11/2014,23.8435
1/12/2014,17.6435
2/12/2014,17.0083
3/12/2014,17.8043
4/12/2014,14.3435
5/12/2014,15.7833
6/12/2014,18.0217
7/12/2014,17.3609
8/12/2014,18.9739
9/12/2014,19.4917
10/12/2014,19.7
11/12/2014,18.425
12/12/2014,14.7333
13/12/2014,15.0609
14/12/2014,16.8957
15/12/2014,18.6625
16/12/2014,15.3087
17/12/2014,13.4
18/12/2014,14.3957
19/12/2014,12.4609
20/12/2014,15.8478
21/12/2014,15.313
22/12/2014,14.3348
23/12/2014,15.8375
24/12/2014,19.387
25/12/2014,15.9583
26/12/2014,16.4292
27/12/2014,16.013
28/12/2014,13.6087
29/12/2014,14.6455
30/12/2014,15.0792
31/12/2014,16.6957
1/1/2015,15.4944
2/1/2015,15.0826
3/1/2015,15.9348
4/1/2015,17.7278
5/1/2015,19.0478
6/1/2015,19.3588
7/1/2015,17.9222
8/1/2015,15.8857
9/1/2015,15.3083
10/1/2015,16.0556
11/1/2015,16.7238
13/1/2015,12.2238
16/1/2015,15.6867
17/1/2015,15.7478
18/1/2015,15.605
19/1/2015,15.2611
20/1/2015,15.61
22/1/2015,16.2333
23/1/2015,16.425
24/1/2015,17.287
25/1/2015,18.1417
26/1/2015,18.825
27/1/2015,17.95
28/1/2015,16.5583
29/1/2015,16.9696
30/1/2015,16.8727
31/1/2015,15.1957
1/2/2015,15.3565
2/2/2015,16.0389
3/2/2015,16.5059
4/2/2015,15.7667
5/2/2015,13.5917
6/2/2015,14.1478
7/2/2015,15.7588
8/2/2015,15.5381
9/2/2015,14.7292
10/2/2015,14.6
11/2/2015,15.9882
12/2/2015,15.9353
13/2/2015,17.1375
14/2/2015,18.8083
15/2/2015,18.9208
16/2/2015,19.8167
17/2/2015,19.025
18/2/2015,17.8875
19/2/2015,16.9348
20/2/2015,17.9667
21/2/2015,19.8957
22/2/2015,19.875
23/2/2015,18.4783
24/2/2015,18.9783
25/2/2015,19.7167
26/2/2015,21.2389
27/2/2015,18.4913
28/2/2015,18.825
1/3/2015,18.3625
2/3/2015,17.3667
3/3/2015,19.5292
4/3/2015,16.6042
5/3/2015,16.3583
6/3/2015,16.875
7/3/2015,17.5375
8/3/2015,18.8958
9/3/2015,19.6765
10/3/2015,17.1167
11/3/2015,16.0333
12/3/2015,15.8917
13/3/2015,17.8333
14/3/2015,19.8542
15/3/2015,21.1
16/3/2015,21.9
17/3/2015,22.1833
